t	Sol_x	Sol_y	Mercurio_x	Mercurio_y	Venus_x	Venus_y	Tierra_x	Tierra_y	Marte_x	Marte_y	Jupiter_x	Jupiter_y	Saturno_x	Saturno_y	Urano_x	Urano_y	Neptuno_x	Neptuno_y	
4.10000	0.00880170	0.00713183	-0.06451603	0.38249470	-0.22604584	-0.67408647	0.79064282	0.63026145	0.66140663	1.38447453	-2.92613178	4.33141101	6.10309515	7.33949854	18.29416868	5.77314282	29.70171096	4.65617309	
4.20000	0.00906269	0.00757185	-0.09027829	-0.36164015	0.47057624	-0.54806339	0.27493598	0.97081369	0.17420799	1.52273892	-3.14931523	4.17212064	5.94520318	7.46860316	18.25025704	5.90931710	29.68361819	4.76875193	
4.30000	0.00931752	0.00802348	0.28319827	0.27981069	0.72481149	0.11157630	-0.34248825	0.94263380	-0.33124890	1.49363243	-3.36376712	4.00131900	5.78460379	7.59430805	18.20532212	6.04516077	29.66509320	4.88126155	
4.40000	0.00956569	0.00848818	-0.35227675	-0.10673349	0.29399482	0.67196339	-0.82495079	0.55609435	-0.79910091	1.30042433	-3.56889669	3.81948268	5.62137045	7.71655618	18.15936637	6.18066620	29.64613623	4.99370033	
4.50000	0.00980467	0.00896613	0.38991809	-0.06343085	-0.40948334	0.59441174	-0.98694768	-0.04067606	-1.17763973	0.96451540	-3.76413914	3.62711834	5.45557780	7.83529209	18.11239227	6.31582575	29.62674755	5.10606662	
4.60000	0.01003253	0.00945596	-0.28158482	0.25364616	-0.70695478	-0.04886670	-0.76603138	-0.61836407	-1.42502621	0.52307132	-3.94895709	3.42476125	5.28730166	7.95046193	18.06440237	6.45063183	29.60692743	5.21835880	
4.70000	0.01024787	0.00995516	0.16362073	-0.34296228	-0.30927453	-0.63565788	-0.24714358	-0.95503700	-1.51391530	0.02491285	-4.12284206	3.21297388	5.11661895	8.06201352	18.01539927	6.58507685	29.58667613	5.33057522	
4.80000	0.01045204	0.01046101	0.05662491	0.39127650	0.39779170	-0.59901253	0.37047919	-0.92175999	-1.43447322	-0.47488096	-4.28531576	2.99234432	4.94360771	8.16989632	17.96538561	6.71915325	29.56599394	5.44271425	
4.90000	0.01064689	0.01097351	-0.19778362	-0.30829718	0.73354661	0.02320365	0.85036414	-0.53165790	-1.19545654	-0.92105618	-4.43593139	2.76348465	4.76834703	8.27406150	17.91436411	6.85285347	29.54488114	5.55477427	
5.00000	0.01083320	0.01149354	0.35491491	0.18762682	0.37727507	0.63370378	1.00929541	0.06589639	-0.82324070	-1.26428006	-4.57427482	2.52702932	4.59091698	8.37446194	17.86233754	6.98616998	29.52333803	5.66675363	
5.10000	0.01101028	0.01202289	-0.36851753	0.01614239	-0.33027429	0.64631927	0.78674121	0.64266873	-0.35890929	-1.46658175	-4.69996570	2.28363337	4.41139866	8.47105225	17.80930870	7.11909528	29.50136489	5.77865072	
5.20000	0.01117542	0.01256152	0.35122037	-0.17133280	-0.70734378	0.04630651	0.26765210	0.97832489	0.14627528	-1.50554309	-4.81265842	2.03397068	4.22987407	8.56378879	17.75528048	7.25162188	29.47896205	5.89046391	
5.30000	0.01132727	0.01310762	-0.19001414	0.33680392	-0.38767623	-0.58637846	-0.34956896	0.94425304	0.63652480	-1.37677958	-4.91204307	1.77873216	4.04642615	8.65262970	17.70025580	7.38374230	29.45612979	6.00219155	
5.40000	0.01146529	0.01365933	0.04915752	-0.36818142	0.31838660	-0.63978937	-0.82835152	0.55314474	1.05768375	-1.09443531	-4.99784623	1.51862385	3.86113867	8.73753490	17.64423764	7.51544910	29.43286845	6.11383204	
5.50000	0.01159049	0.01421497	0.17279064	0.36353445	0.73023545	-0.06500302	-0.98466208	-0.04507471	1.36321602	-0.68963153	-5.06983174	1.25436501	3.67409625	8.81846615	17.58722905	7.64673485	29.40917833	6.22538375	
5.60000	0.01170353	0.01477497	-0.28521929	-0.22302674	0.45412756	0.58571812	-0.75829037	-0.62051641	1.51935712	-0.20703459	-5.12780125	0.98668622	3.48538429	8.89538701	17.52923311	7.77759216	29.38505977	6.33684504	
5.70000	0.01180357	0.01533917	0.39344509	0.07910270	-0.24602901	0.68813050	-0.23630691	-0.95210040	1.50885570	0.30008088	-5.17159483	0.71632735	3.29508895	8.96826289	17.47025296	7.90801362	29.36051310	6.44821431	
5.80000	0.01188986	0.01590693	-0.34733316	0.13895927	-0.69646542	0.14113675	0.38084308	-0.91282773	1.33288583	0.77572796	-5.20109137	0.44403566	3.10329707	9.03706105	17.41029181	8.03799189	29.33553867	6.55948991	
5.90000	0.01196144	0.01647635	0.27969473	-0.26146102	-0.46006680	-0.52712617	0.85683762	-0.51808602	1.01091595	1.16740451	-5.21620887	0.17056368	2.91009617	9.10175064	17.34935292	8.16751962	29.31013680	6.67067025	
6.00000	0.01201976	0.01704535	-0.07912347	0.38827187	0.23353069	-0.66983646	1.00990264	0.08101593	0.57854894	1.43190093	-5.21690472	-0.10333274	2.71557442	9.16230268	17.28743958	8.29658950	29.28430787	6.78175369	
6.10000	0.01206634	0.01761398	-0.06954444	-0.35612851	0.71488639	-0.15179176	0.78169068	0.65567264	0.08357712	1.54007312	-5.20317581	-0.37689649	2.51982054	9.21869011	17.22455516	8.42519424	29.25805221	6.89273863	
6.20000	0.01210206	0.01818295	0.27284338	0.30238719	0.52335303	0.52865028	0.25926691	0.98636254	-0.41930577	1.48005400	-5.17505851	-0.64937126	2.32292381	9.27088775	17.16070309	8.55332658	29.23137021	7.00362343	
6.30000	0.01212611	0.01875394	-0.34375591	-0.11395163	-0.15810410	0.71909156	-0.35772304	0.94638279	-0.87454717	1.25855312	-5.13262867	-0.92000352	2.12497402	9.31887236	17.09588681	8.68097926	29.20426222	7.11440649	
6.40000	0.01213587	0.01932637	0.39523264	-0.03531934	-0.67451981	0.23397425	-0.83283417	0.55070220	-1.23186581	0.90010692	-5.07600135	-1.18804465	1.92606141	9.36262263	17.03010987	8.80814508	29.17672862	7.22508620	
6.50000	0.01213011	0.01989798	-0.29088061	0.24959013	-0.52529297	-0.45896174	-0.98348594	-0.04899249	-1.45179873	0.44436812	-5.00533057	-1.45275284	1.72627665	9.40211918	16.96337584	8.93481683	29.14876980	7.33566094	
6.60000	0.01210876	0.02046590	0.18201704	-0.32500381	0.14452307	-0.68878582	-0.75167918	-0.62223240	-1.51005485	-0.05826586	-4.92080894	-1.71339522	1.52571078	9.43734458	16.89568834	9.06098736	29.12038614	7.44612909	
6.70000	0.01207415	0.02102788	0.04008528	0.40339935	0.68771257	-0.23594786	-0.22662402	-0.94876494	-1.40019772	-0.55221397	-4.82266712	-1.96924979	1.32445519	9.46828337	16.82705105	9.18664951	29.09157803	7.55648906	
6.80000	0.01202829	0.02158436	-0.18088274	-0.30750494	0.58388828	0.46327829	0.38999219	-0.90353529	-1.13436191	-0.98284992	-4.71117328	-2.21960736	1.12260155	9.49492203	16.75746773	9.31179618	29.06234587	7.66673923	
6.90000	0.01197180	0.02213593	0.34737302	0.21407574	-0.06787555	0.73863635	0.86201068	-0.50423834	-0.74191540	-1.30253994	-4.58663236	-2.46377352	0.92024180	9.51724901	16.68694214	9.43642028	29.03269008	7.77687799	
7.00000	0.01190433	0.02268336	-0.36738084	0.00831769	-0.64183018	0.32321888	1.00915445	0.09626791	-0.26621392	-1.47590810	-4.44938532	-2.70107055	0.71746806	9.53525473	16.61547814	9.56051474	29.00261106	7.88690374	
7.10000	0.01182459	0.02322561	0.36015279	-0.14466251	-0.58215725	-0.38312371	0.77529548	0.66865291	0.24019033	-1.48374298	-4.29980822	-2.93083923	0.51437266	9.54893160	16.54307963	9.68407253	28.97210923	7.99681487	
7.20000	0.01173329	0.02376096	-0.20488350	0.33722943	0.05302681	-0.69634244	0.24959043	0.99425761	0.72135219	-1.32511619	-4.13831125	-3.15244067	0.31104801	9.55827397	16.46975053	9.80708664	28.94118501	8.10660978	
7.30000	0.01163139	0.02428875	0.06742107	-0.35554166	0.64926941	-0.31603412	-0.36711647	0.94829326	1.12410866	-1.01748350	-3.96533765	-3.36525810	0.10758665	9.56327820	16.39549487	9.92955010	28.90983884	8.21628687	
7.40000	0.01152019	0.02480885	0.15598288	0.38116386	0.63479288	0.39065157	-0.83852205	0.54799779	1.40394800	-0.59476108	-3.78136256	-3.56869856	-0.09591888	9.56394262	16.32031668	10.05145595	28.87807114	8.32584453	
7.50000	0.01139964	0.02532240	-0.27377051	-0.22666657	0.02326928	0.74638441	-0.98350057	-0.05317846	1.52992716	-0.10358669	-3.58689174	-3.76219453	-0.29937602	9.56026754	16.24422007	10.17279727	28.84588237	8.43528118	
7.60000	0.01126835	0.02582866	0.38948359	0.10726949	-0.59885669	0.40737878	-0.74628295	-0.62421480	1.48809625	0.40182730	-3.38246024	-3.94520552	-0.50269225	9.55225522	16.16720919	10.29356718	28.81327296	8.54459520	
7.70000	0.01112606	0.02632591	-0.35360473	0.13174277	-0.62972426	-0.30087385	-0.21820846	-0.94573662	1.28304945	0.86568310	-3.16863100	-4.11721962	-0.70577515	9.53990993	16.08928826	10.41375880	28.78024338	8.65378502	
7.80000	0.01097335	0.02681167	0.29152324	-0.23839051	-0.03949968	-0.69246789	0.39783698	-0.89464943	0.93742484	1.23676853	-2.94599330	-4.27775492	-0.90853241	9.52323788	16.01046153	10.53336530	28.74679407	8.76284902	
7.90000	0.01081329	0.02728443	-0.09795149	0.39352626	0.60021032	-0.39086826	0.86588760	-0.49092647	0.48940422	1.47412506	-2.71516121	-4.42636088	-1.11087191	9.50224729	15.93073330	10.65237989	28.71292552	8.87178562	
8.00000	0.01064824	0.02774538	-0.05305125	-0.34967252	0.67531434	0.31187597	1.00715656	0.11086693	-0.01151180	1.55158100	-2.47677197	-4.56261960	-1.31270172	9.47694830	15.85010794	10.77079578	28.67863818	8.98059323	
8.10000	0.01047916	0.02819601	0.25750311	0.32418965	0.11393698	0.74216549	0.76771064	0.68089125	-0.50998329	1.46064438	-2.23148422	-4.68614705	-1.51393019	9.44735302	15.76858987	10.88860624	28.64393255	9.08927026	
8.20000	0.01030524	0.02863809	-0.33878379	-0.12124131	-0.54619601	0.48508294	0.23878569	1.00133301	-0.95095410	1.21143419	-1.97997621	-4.79659416	-1.71446594	9.41347552	15.68618353	11.00580455	28.60880909	9.19781511	
