t,Sol_x,Sol_y,Mercurio_x,Mercurio_y,Venus_x,Venus_y,Tierra_x,Tierra_y,Marte_x,Marte_y,Jupiter_x,Jupiter_y,Saturno_x,Saturno_y,Urano_x,Urano_y,Neptuno_x,Neptuno_y,
3.900000,0.008260,0.006288,-0.344619,0.146687,-0.482098,0.533407,0.842765,-0.544363,1.373591,0.683528,-2.456053,4.613710,6.410469,7.071326,18.378913,5.499833,29.736599,4.430814,
4.000000,0.008534,0.006704,0.262856,-0.283354,-0.695186,-0.142660,1.007521,0.051502,1.076498,1.094061,-2.694832,4.478745,6.258207,7.207053,18.337055,5.636646,29.719371,4.543527,
4.100000,0.008802,0.007132,-0.064516,0.382495,-0.226046,-0.674086,0.790643,0.630261,0.661407,1.384475,-2.926132,4.331411,6.103095,7.339499,18.294169,5.773143,29.701711,4.656173,
4.200000,0.009063,0.007572,-0.090278,-0.361640,0.470576,-0.548063,0.274936,0.970814,0.174208,1.522739,-3.149315,4.172121,5.945203,7.468603,18.250257,5.909317,29.683618,4.768752,
4.300000,0.009318,0.008023,0.283198,0.279811,0.724811,0.111576,-0.342488,0.942634,-0.331249,1.493632,-3.363767,4.001319,5.784604,7.594308,18.205322,6.045161,29.665093,4.881262,
4.400000,0.009566,0.008488,-0.352277,-0.106733,0.293995,0.671963,-0.824951,0.556094,-0.799101,1.300424,-3.568897,3.819483,5.621370,7.716556,18.159366,6.180666,29.646136,4.993700,
4.500000,0.009805,0.008966,0.389918,-0.063431,-0.409483,0.594412,-0.986948,-0.040676,-1.177640,0.964515,-3.764139,3.627118,5.455578,7.835292,18.112392,6.315826,29.626748,5.106067,
4.600000,0.010033,0.009456,-0.281585,0.253646,-0.706955,-0.048867,-0.766031,-0.618364,-1.425026,0.523071,-3.948957,3.424761,5.287302,7.950462,18.064402,6.450632,29.606927,5.218359,
4.700000,0.010248,0.009955,0.163621,-0.342962,-0.309275,-0.635658,-0.247144,-0.955037,-1.513915,0.024913,-4.122842,3.212974,5.116619,8.062014,18.015399,6.585077,29.586676,5.330575,
4.800000,0.010452,0.010461,0.056625,0.391277,0.397792,-0.599013,0.370479,-0.921760,-1.434473,-0.474881,-4.285316,2.992344,4.943608,8.169896,17.965386,6.719153,29.565994,5.442714,
4.900000,0.010647,0.010974,-0.197784,-0.308297,0.733547,0.023204,0.850364,-0.531658,-1.195457,-0.921056,-4.435931,2.763485,4.768347,8.274062,17.914364,6.852853,29.544881,5.554774,
5.000000,0.010833,0.011494,0.354915,0.187627,0.377275,0.633704,1.009295,0.065896,-0.823241,-1.264280,-4.574275,2.527029,4.590917,8.374462,17.862338,6.986170,29.523338,5.666754,
5.100000,0.011010,0.012023,-0.368518,0.016142,-0.330274,0.646319,0.786741,0.642669,-0.358909,-1.466582,-4.699966,2.283633,4.411399,8.471052,17.809309,7.119095,29.501365,5.778651,
5.200000,0.011175,0.012562,0.351220,-0.171333,-0.707344,0.046307,0.267652,0.978325,0.146275,-1.505543,-4.812658,2.033971,4.229874,8.563789,17.755280,7.251622,29.478962,5.890464,
5.300000,0.011327,0.013108,-0.190014,0.336804,-0.387676,-0.586378,-0.349569,0.944253,0.636525,-1.376780,-4.912043,1.778732,4.046426,8.652630,17.700256,7.383742,29.456130,6.002192,
5.400000,0.011465,0.013659,0.049158,-0.368181,0.318387,-0.639789,-0.828352,0.553145,1.057684,-1.094435,-4.997846,1.518624,3.861139,8.737535,17.644238,7.515449,29.432868,6.113832,
5.500000,0.011590,0.014215,0.172791,0.363534,0.730235,-0.065003,-0.984662,-0.045075,1.363216,-0.689632,-5.069832,1.254365,3.674096,8.818466,17.587229,7.646735,29.409178,6.225384,
5.600000,0.011704,0.014775,-0.285219,-0.223027,0.454128,0.585718,-0.758290,-0.620516,1.519357,-0.207035,-5.127801,0.986686,3.485384,8.895387,17.529233,7.777592,29.385060,6.336845,
